customer_id,email,first_name,middle_initial,last_name,phone,signup_date,last_purchase_date,last_login_date,customer_tier,region,acquisition_channel,gender,age_bracket,top_category,total_revenue,avg_order_value,total_orders,site_visits_30d,emails_opened_30d,cart_abandons,items_in_wishlist,customer_lifetime_days,recency_days,email_subscribed,sms_subscribed,premium_member,at_risk_churn
C0011,karen.nelson11@email.com,Karen,W,Nelson,555-2697,2020-10-02,2023-10-27,2023-12-23,Bronze,Midwest,Direct,Other,35-44,Clothing,672.72,84.09,8,31,23,2,15,1261,141,FALSE,TRUE,FALSE,TRUE
C0012,elizabeth.campbell12@email.com,Elizabeth,A,Campbell,555-3442,2023-01-22,2024-03-09,2024-03-04,Bronze,Southwest,Direct,Prefer not to say,25-34,Clothing,687.33,76.37,9,43,19,1,12,419,7,FALSE,FALSE,FALSE,FALSE
C0013,stephanie.lopez13@email.com,Stephanie,A,Lopez,555-6442,2022-04-23,2024-03-01,2024-03-15,Gold,Midwest,Social,F,35-44,Books,7027.35,212.95,33,26,17,6,14,693,15,FALSE,FALSE,FALSE,FALSE
C0014,margaret.scott14@email.com,Margaret,A,Scott,555-5279,2020-12-31,2024-03-15,2024-02-28,Silver,Southeast,Organic,Prefer not to say,65+,Books,3490.49,183.71,19,27,14,2,2,1171,1,FALSE,FALSE,FALSE,FALSE
C0015,betty.davis15@email.com,Betty,K,Davis,555-7691,2021-10-30,2023-12-11,2024-01-20,Silver,Midwest,Email,Other,65+,Home,6874.7,196.42,35,24,20,4,15,868,96,TRUE,FALSE,FALSE,TRUE
C0016,carol.carter16@email.com,Carol,C,Carter,555-6491,2020-07-10,2024-02-19,2024-03-08,Gold,Northeast,Paid Search,Prefer not to say,25-34,Sports,7677.36,213.26,36,28,14,5,13,1345,26,TRUE,FALSE,FALSE,FALSE
C0017,joshua.thomas17@email.com,Joshua,D,Thomas,555-8612,2023-09-29,2024-02-27,2024-02-20,Silver,Southeast,Organic,M,65+,Books,1360.87,194.41,7,29,16,6,5,169,18,FALSE,FALSE,FALSE,FALSE
C0018,sarah.thompson18@email.com,Sarah,W,Thompson,,2020-11-04,2024-02-14,2024-03-15,Bronze,Southwest,Email,F,55-64,Beauty,813.42,90.38,9,43,8,6,14,1228,31,FALSE,FALSE,FALSE,FALSE
C0019,ashley.anderson19@email.com,Ashley,S,Anderson,,2021-11-19,2024-02-28,2024-03-03,Gold,Midwest,Email,F,35-44,Beauty,7528.62,221.43,34,28,12,6,9,848,17,TRUE,FALSE,FALSE,FALSE
C0020,melissa.garcia20@email.com,Melissa,W,Garcia,,2021-12-17,2024-02-21,2024-03-10,Bronze,Northeast,Paid Search,Other,35-44,Electronics,559.79,79.97,7,33,14,3,13,820,24,FALSE,FALSE,FALSE,FALSE
C0021,gary.martin21@email.com,Gary,N,Martin,555-4249,2020-06-04,2024-03-15,2024-02-17,Silver,Southwest,Direct,M,45-54,Books,3943.17,187.77,21,36,19,0,10,1381,1,TRUE,FALSE,FALSE,FALSE
C0022,margaret.lopez22@email.com,Margaret,J,Lopez,555-9817,2022-09-17,2024-02-13,2024-03-09,Silver,Midwest,Direct,F,35-44,Sports,3341.0,167.05,20,25,8,3,15,546,32,TRUE,FALSE,FALSE,FALSE
C0023,paul.gonzalez23@email.com,Paul,,Gonzalez,555-9004,2023-02-11,2024-02-09,2024-03-05,Gold,Midwest,Organic,M,65+,Home,3152.48,197.03,16,48,36,1,12,399,36,TRUE,TRUE,TRUE,FALSE
C0024,charles.carter24@email.com,Charles,F,Carter,555-8933,2021-07-20,2024-02-04,2024-02-17,Gold,Northeast,Email,Other,45-54,Beauty,6515.64,180.99,36,16,25,2,13,970,41,FALSE,TRUE,FALSE,FALSE
C0025,anthony.brown25@email.com,Anthony,S,Brown,555-2070,2022-03-31,2024-01-17,2024-03-01,Silver,Southwest,Referral,Other,18-24,Electronics,3047.31,145.11,21,34,15,6,10,716,59,TRUE,FALSE,FALSE,FALSE
C0026,carol.wilson26@email.com,Carol,C,Wilson,555-3847,2023-02-04,2024-02-07,2024-02-23,Bronze,Northeast,Direct,F,25-34,Beauty,187.0,93.5,2,17,15,2,14,406,38,FALSE,TRUE,FALSE,FALSE
C0027,jennifer.brown27@email.com,Jennifer,K,Brown,555-5728,2022-06-18,2024-02-01,2024-02-18,Bronze,Northeast,Direct,F,35-44,Sports,1164.0,97.0,12,34,16,0,3,637,44,FALSE,FALSE,FALSE,FALSE
C0028,edward.roberts28@email.com,Edward,T,Roberts,555-5557,2021-01-06,2024-02-09,2024-03-14,Platinum,Midwest,Email,M,55-64,Home,18257.3,299.3,61,58,33,2,15,1165,36,TRUE,TRUE,TRUE,FALSE
C0029,jeffrey.brown29@email.com,Jeffrey,M,Brown,555-9167,2023-07-04,2024-03-15,2024-02-27,Bronze,Northeast,Organic,Prefer not to say,65+,Home,153.1,76.55,2,35,15,5,4,256,1,TRUE,TRUE,FALSE,FALSE
C0030,cynthia.campbell30@email.com,Cynthia,J,Campbell,555-8905,2022-08-25,2024-03-15,2024-03-06,Bronze,West,Email,Prefer not to say,25-34,Sports,667.87,95.41,7,28,18,6,10,569,1,FALSE,FALSE,FALSE,FALSE
C0031,timothy.thompson31@email.com,Timothy,W,Thompson,555-6272,2021-01-21,2023-11-02,2024-01-04,Platinum,Southwest,Email,Prefer not to say,18-24,Clothing,16613.25,325.75,51,78,23,1,3,1150,135,FALSE,FALSE,TRUE,TRUE
C0032,stephanie.nelson32@email.com,Stephanie,C,Nelson,555-5342,2021-11-24,2024-02-26,2024-03-08,Silver,Northeast,Direct,Prefer not to say,18-24,Sports,3180.0,159.0,20,16,10,1,12,843,19,FALSE,FALSE,FALSE,FALSE
C0033,dorothy.martin33@email.com,Dorothy,B,Martin,555-1919,2021-08-23,2023-11-18,2023-11-26,Silver,Northeast,Email,F,35-44,Books,3980.02,180.91,22,27,15,3,11,936,119,TRUE,FALSE,FALSE,TRUE
C0034,jennifer.robinson34@email.com,Jennifer,K,Robinson,555-7951,2023-11-14,2024-02-01,2024-02-20,Bronze,West,Social,F,25-34,Beauty,150.66,75.33,2,15,20,2,2,123,44,FALSE,TRUE,FALSE,FALSE
C0035,carol.gonzalez35@email.com,Carol,E,Gonzalez,555-1645,2021-09-24,2024-02-28,2024-02-15,Gold,Midwest,Social,F,18-24,Sports,6209.92,194.06,32,39,36,2,9,904,17,TRUE,TRUE,TRUE,FALSE
C0036,william.roberts36@email.com,William,N,Roberts,555-6992,2020-07-03,2024-03-11,2024-02-24,Gold,Midwest,Organic,M,25-34,Electronics,10078.62,245.82,41,22,37,1,16,1352,5,TRUE,FALSE,TRUE,FALSE
C0037,daniel.allen37@email.com,Daniel,,Allen,555-9807,2020-10-04,2024-02-16,2024-03-01,Silver,Northeast,Social,M,55-64,Beauty,5224.45,149.27,35,28,16,0,13,1259,29,FALSE,FALSE,FALSE,FALSE
C0038,david.clark38@email.com,David,D,Clark,555-8450,2020-07-06,2024-01-26,2024-03-11,Gold,Midwest,Paid Search,Other,25-34,Beauty,7774.4,194.36,40,49,21,4,22,1349,50,TRUE,FALSE,TRUE,FALSE
C0039,linda.baker39@email.com,Linda,E,Baker,,2021-05-02,2024-03-01,2024-02-25,Silver,West,Direct,F,18-24,Electronics,3800.98,165.26,23,26,24,4,3,1049,15,TRUE,FALSE,FALSE,FALSE
C0040,deborah.clark40@email.com,Deborah,D,Clark,555-8267,2020-05-30,2024-01-25,2024-02-22,Gold,West,Paid Search,Prefer not to say,45-54,Beauty,7814.9,229.85,34,36,33,2,16,1386,51,TRUE,FALSE,TRUE,FALSE
C0041,margaret.thompson41@email.com,Margaret,N,Thompson,555-2557,2021-10-02,2024-02-09,2024-02-27,Silver,Midwest,Email,F,65+,Home,5507.39,189.91,29,40,12,4,2,896,36,TRUE,TRUE,FALSE,FALSE
C0042,sarah.martin42@email.com,Sarah,T,Martin,555-8900,2021-04-04,2024-01-22,2024-02-22,Gold,Midwest,Social,Other,18-24,Clothing,8332.26,219.27,38,54,37,0,16,1077,54,TRUE,TRUE,TRUE,FALSE
C0043,donna.baker43@email.com,Donna,E,Baker,555-1502,2020-07-06,2024-02-01,2024-03-13,Gold,Southwest,Email,F,35-44,Clothing,9375.2,234.38,40,24,18,0,21,1349,44,TRUE,FALSE,TRUE,FALSE
C0044,anthony.lewis44@email.com,Anthony,,Lewis,555-8972,2022-12-15,2024-02-20,2024-02-27,Gold,Midwest,,M,65+,Home,3412.98,189.61,18,22,34,3,12,457,25,TRUE,FALSE,TRUE,FALSE
C0045,michael.walker45@email.com,Michael,L,Walker,555-7626,2023-12-24,2023-11-22,2023-12-02,Silver,Midwest,Paid Search,Prefer not to say,35-44,Clothing,300.62,150.31,2,26,10,3,15,83,115,TRUE,TRUE,FALSE,TRUE
C0046,paul.adams46@email.com,Paul,,Adams,555-6724,2021-12-20,2024-02-07,2024-03-01,Gold,West,Direct,M,35-44,Clothing,6293.1,190.7,33,45,23,3,14,817,38,FALSE,FALSE,FALSE,FALSE
C0047,william.young47@email.com,William,K,Young,555-1920,2021-12-21,2024-01-25,2024-02-21,Silver,West,Social,Prefer not to say,55-64,Books,6076.8,189.9,32,34,24,3,9,816,51,FALSE,FALSE,FALSE,FALSE
C0048,patricia.robinson48@email.com,Patricia,,Robinson,555-6626,2024-01-02,2024-03-12,2024-02-19,Bronze,Midwest,Direct,F,45-54,Home,119.55,119.55,1,27,21,6,7,74,4,FALSE,FALSE,FALSE,FALSE
C0049,kimberly.baker49@email.com,Kimberly,E,Baker,555-3317,2021-12-17,2024-02-12,2024-03-04,Bronze,Southeast,Email,Other,25-34,Clothing,1453.16,85.48,17,41,24,0,12,820,33,TRUE,FALSE,FALSE,FALSE
C0050,barbara.jones50@email.com,Barbara,D,Jones,555-9843,2024-02-21,2024-01-29,2024-03-08,Gold,Southwest,Paid Search,F,35-44,Beauty,228.5,228.5,1,57,33,0,12,24,47,FALSE,FALSE,TRUE,FALSE
C0051,nancy.hall51@email.com,Nancy,R,Hall,555-5616,2022-02-21,2024-01-27,2024-03-10,Silver,Southeast,Organic,F,25-34,Sports,3565.0,155.0,23,18,24,6,3,754,49,TRUE,FALSE,FALSE,FALSE
C0052,cynthia.johnson52@email.com,Cynthia,N,Johnson,555-4862,2022-03-01,2024-02-05,2024-03-15,Platinum,Southeast,Referral,Other,65+,Beauty,27306.3,390.09,70,79,23,3,25,746,40,FALSE,TRUE,TRUE,FALSE
C0053,charles.jackson53@email.com,Charles,D,Jackson,,2022-05-09,2024-02-18,2024-03-10,Silver,Midwest,,Prefer not to say,55-64,Beauty,2537.82,140.99,18,28,8,4,7,677,27,FALSE,TRUE,FALSE,FALSE
C0054,mark.young54@email.com,Mark,,Young,555-7116,2021-06-03,2024-01-31,2024-02-29,Gold,Northeast,Email,M,18-24,Beauty,8619.89,232.97,37,37,19,4,21,1017,45,TRUE,FALSE,TRUE,FALSE
C0055,patricia.gonzalez55@email.com,Patricia,L,Gonzalez,555-9444,2022-03-26,2024-01-18,2024-03-03,Platinum,Southwest,Referral,F,35-44,Electronics,19727.95,358.69,55,78,37,1,15,721,58,TRUE,TRUE,TRUE,FALSE
C0056,joseph.lewis56@email.com,Joseph,F,Lewis,555-6262,2020-07-29,2024-01-25,2024-03-14,Bronze,Midwest,Direct,Prefer not to say,65+,Home,1482.32,105.88,14,44,19,4,8,1326,51,TRUE,FALSE,FALSE,FALSE
C0057,william.flores57@email.com,William,R,Flores,,2020-05-17,2024-02-03,2024-03-07,Bronze,Southeast,Email,M,55-64,Home,1145.92,71.62,16,17,12,4,7,1399,42,TRUE,TRUE,FALSE,FALSE
C0058,michelle.taylor58@email.com,Michelle,G,Taylor,555-5678,2023-11-22,2024-02-26,2024-02-16,Gold,Southeast,Referral,Other,25-34,Electronics,1249.05,249.81,5,37,28,3,4,115,19,TRUE,TRUE,TRUE,FALSE
C0059,stephanie.rodriguez59@email.com,Stephanie,S,Rodriguez,,2023-02-08,2023-12-07,2023-11-25,Silver,West,Referral,F,65+,Beauty,2734.86,143.94,19,28,21,6,11,402,100,TRUE,FALSE,FALSE,TRUE
C0060,deborah.rodriguez60@email.com,Deborah,B,Rodriguez,555-9488,2020-11-09,2024-02-05,2024-02-27,Bronze,West,Paid Search,F,25-34,Beauty,1173.7,117.37,10,45,25,2,4,1223,40,TRUE,FALSE,FALSE,FALSE
C0061,jeffrey.johnson61@email.com,Jeffrey,,Johnson,555-5336,2023-08-26,2024-03-05,2024-03-01,Bronze,Midwest,Social,M,65+,Books,486.4,97.28,5,27,17,3,3,203,11,TRUE,FALSE,FALSE,FALSE
C0062,jason.rodriguez62@email.com,Jason,T,Rodriguez,555-6228,2021-05-10,2024-01-29,2024-03-05,Silver,West,Social,Other,45-54,Electronics,5037.12,157.41,32,42,13,6,7,1041,47,TRUE,TRUE,FALSE,FALSE
C0063,mark.king63@email.com,Mark,H,King,555-6781,2020-04-09,2023-11-06,2024-01-22,Bronze,Southwest,Referral,M,35-44,Sports,1408.2,70.41,20,27,19,0,8,1437,131,TRUE,FALSE,FALSE,TRUE
C0064,william.miller64@email.com,William,L,Miller,555-6990,2020-10-22,2024-02-24,2024-03-10,Bronze,Midwest,Referral,M,55-64,Beauty,1223.15,71.95,17,43,24,1,7,1241,21,TRUE,FALSE,FALSE,FALSE
C0065,ashley.nguyen65@email.com,Ashley,A,Nguyen,555-2795,2022-05-03,2024-01-22,2024-03-03,Silver,Northeast,Direct,Prefer not to say,18-24,Clothing,5597.1,186.57,30,20,24,5,13,683,54,TRUE,FALSE,FALSE,FALSE
C0066,steven.lee66@email.com,Steven,P,Lee,555-7723,2022-10-24,2024-01-26,2024-02-17,Gold,Midwest,Paid Search,M,25-34,Beauty,6831.68,213.49,32,29,25,2,10,509,50,FALSE,FALSE,FALSE,FALSE
C0067,steven.martin67@email.com,Steven,G,Martin,555-9011,2021-10-11,2024-01-30,2024-03-13,Silver,Midwest,Paid Search,Other,25-34,Beauty,4395.06,162.78,27,40,12,2,2,887,46,TRUE,FALSE,FALSE,FALSE
C0068,christopher.miller68@email.com,Christopher,H,Miller,555-9700,2021-04-07,2024-01-19,2024-02-29,Silver,Midwest,Direct,Other,18-24,Electronics,3066.63,146.03,21,44,13,3,12,1074,57,TRUE,TRUE,FALSE,FALSE
C0069,emily.carter69@email.com,Emily,B,Carter,555-3868,2022-05-05,2024-02-10,2024-02-28,Gold,West,Paid Search,F,18-24,Beauty,37178.8,906.8,41,27,27,1,13,681,35,TRUE,FALSE,TRUE,FALSE
C0070,melissa.walker70@email.com,Melissa,F,Walker,,2021-11-21,2024-03-15,2024-03-07,Gold,Midwest,Social,F,55-64,Beauty,10587.43,216.07,49,30,18,2,10,846,1,TRUE,TRUE,TRUE,FALSE
C0071,christopher.nelson71@email.com,Christopher,H,Nelson,,2020-08-30,2024-02-06,2024-03-04,Silver,Southwest,Direct,M,25-34,Clothing,5349.6,178.32,30,45,12,3,4,1294,39,TRUE,FALSE,FALSE,FALSE
C0072,paul.robinson72@email.com,Paul,M,Robinson,,2023-03-01,2023-12-31,2023-12-12,Bronze,West,Social,M,65+,Home,432.05,86.41,5,17,24,3,14,381,76,TRUE,FALSE,FALSE,TRUE
C0073,paul.smith73@email.com,Paul,C,Smith,,2021-12-06,2024-01-17,2024-02-15,Gold,West,Social,Prefer not to say,18-24,Clothing,8526.6,189.48,45,67,31,1,12,831,59,TRUE,TRUE,TRUE,FALSE
C0074,linda.rodriguez74@email.com,Linda,H,Rodriguez,555-1372,2021-09-03,2024-01-26,2024-02-15,Silver,Southeast,,Prefer not to say,55-64,Home,5626.95,160.77,35,18,9,6,12,925,50,FALSE,TRUE,FALSE,FALSE
C0075,sarah.hall75@email.com,Sarah,B,Hall,555-1724,2022-04-03,2024-02-02,2024-02-28,Silver,Northeast,Referral,Prefer not to say,65+,Home,2772.9,154.05,18,39,18,1,6,713,43,TRUE,FALSE,FALSE,FALSE
C0076,elizabeth.allen76@email.com,Elizabeth,,Allen,555-7244,2022-12-10,2024-02-09,2024-03-02,Bronze,Southeast,Social,Prefer not to say,25-34,Beauty,977.02,88.82,11,37,12,6,9,462,36,FALSE,FALSE,FALSE,FALSE
C0077,gary.robinson77@email.com,Gary,C,Robinson,555-4120,2020-04-15,2024-03-08,2024-02-21,Bronze,Southeast,Direct,M,25-34,Sports,637.32,106.22,6,45,8,1,5,1431,8,FALSE,FALSE,FALSE,FALSE
C0078,emily.lee78@email.com,Emily,N,Lee,555-6886,2021-09-23,2023-11-07,2023-12-03,Bronze,Southeast,Paid Search,F,45-54,Sports,2161.6,108.08,20,42,15,5,4,905,130,TRUE,FALSE,FALSE,TRUE
C0079,ashley.torres79@email.com,Ashley,L,Torres,555-9005,2024-01-21,2024-03-11,2024-02-18,Silver,Southwest,Direct,F,25-34,Electronics,366.44,183.22,2,35,9,4,2,55,5,FALSE,FALSE,FALSE,FALSE
C0080,mary.wilson80@email.com,Mary,M,Wilson,,2023-07-30,2024-02-17,2024-02-19,Silver,Northeast,Paid Search,F,25-34,Beauty,1646.8,164.68,10,24,8,4,15,230,28,FALSE,TRUE,FALSE,FALSE
C0081,joshua.clark81@email.com,Joshua,,Clark,555-8520,2023-03-03,2024-03-10,2024-02-29,Bronze,Midwest,Organic,Other,55-64,Home,717.48,119.58,6,30,9,5,2,379,6,FALSE,FALSE,FALSE,FALSE
C0082,susan.rivera82@email.com,Susan,S,Rivera,555-2218,2023-11-02,2024-01-22,2024-02-17,Gold,Midwest,Direct,F,25-34,Electronics,1628.62,232.66,7,17,17,1,11,135,54,TRUE,FALSE,FALSE,FALSE
C0083,david.miller83@email.com,David,C,Miller,555-7499,2021-10-30,2024-03-10,2024-03-07,Bronze,Southeast,Social,Other,35-44,Electronics,1141.27,87.79,13,17,17,6,5,868,6,TRUE,FALSE,FALSE,FALSE
C0084,james.martin84@email.com,James,J,Martin,555-2430,2021-01-18,2023-09-23,2023-12-06,Silver,West,Direct,M,45-54,Clothing,3057.18,145.58,21,24,21,3,14,1153,175,FALSE,FALSE,FALSE,TRUE
C0085,sarah.martin85@email.com,Sarah,E,Martin,,2022-06-09,2024-02-23,2024-02-18,Bronze,Midwest,Email,F,65+,Beauty,990.96,82.58,12,18,12,2,2,646,22,FALSE,FALSE,FALSE,FALSE
C0086,karen.lee86@email.com,Karen,G,Lee,555-3910,2022-03-26,2024-01-29,2024-03-01,Platinum,Midwest,Organic,F,45-54,Books,23902.85,391.85,61,62,25,2,27,721,47,FALSE,TRUE,TRUE,FALSE
C0087,christopher.adams87@email.com,Christopher,J,Adams,555-7932,2022-02-11,2024-03-09,2024-02-20,Bronze,Southeast,Organic,Prefer not to say,55-64,Beauty,2323.4,116.17,20,37,25,4,12,764,7,TRUE,FALSE,FALSE,FALSE
C0088,donna.thompson88@email.com,Donna,P,Thompson,555-2615,2021-06-13,2024-03-10,2024-03-12,Bronze,Midwest,Email,Prefer not to say,25-34,Sports,1117.8,93.15,12,30,11,2,8,1007,6,FALSE,FALSE,FALSE,FALSE
C0089,mary.miller89@email.com,Mary,R,Miller,555-5919,2020-04-01,2024-02-02,2024-03-02,Gold,Southeast,Email,Other,45-54,Electronics,7110.95,203.17,35,60,30,3,6,1445,43,TRUE,FALSE,TRUE,FALSE
C0090,susan.moore90@email.com,Susan,C,Moore,555-9796,2021-01-17,2024-02-05,2024-03-10,Silver,Midwest,Referral,F,18-24,Clothing,5419.84,169.37,32,27,11,2,7,1154,40,FALSE,FALSE,FALSE,FALSE
C0091,charles.thomas91@email.com,Charles,F,Thomas,555-3316,2022-11-12,2024-01-22,2024-03-01,Silver,Northeast,Paid Search,Other,45-54,Sports,3444.8,172.24,20,20,23,2,4,490,54,FALSE,FALSE,FALSE,FALSE
C0092,jeffrey.hall92@email.com,Jeffrey,R,Hall,555-2354,2023-03-03,2024-02-27,2024-02-20,Bronze,West,Organic,Prefer not to say,65+,Books,487.44,81.24,6,30,25,4,3,379,18,TRUE,FALSE,FALSE,FALSE
C0093,margaret.miller93@email.com,Margaret,H,Miller,555-1528,2022-07-10,2024-01-23,2024-03-09,Bronze,West,Referral,F,25-34,Beauty,402.45,80.49,5,28,13,4,4,615,53,FALSE,FALSE,FALSE,FALSE
C0094,kenneth.nguyen94@email.com,Kenneth,T,Nguyen,555-2560,2020-10-04,2024-02-27,2024-02-24,Platinum,Northeast,Direct,Other,35-44,Books,17207.1,318.65,54,53,26,2,5,1259,18,TRUE,FALSE,FALSE,FALSE
C0095,gary.allen95@email.com,Gary,A,Allen,555-2526,2024-02-05,2024-02-13,2024-02-19,Platinum,Northeast,,Other,65+,Books,936.66,312.22,3,48,48,2,7,40,32,TRUE,FALSE,TRUE,FALSE
C0096,david.hernandez96@email.com,David,A,Hernandez,555-8009,2021-02-18,2024-02-17,2024-02-24,Platinum,Southeast,Paid Search,M,55-64,Home,20199.92,388.46,52,35,22,3,16,1122,28,TRUE,TRUE,FALSE,FALSE
C0097,james.smith97@email.com,James,D,Smith,555-7919,2023-11-22,2023-11-10,2023-12-05,Bronze,Southwest,Paid Search,Prefer not to say,65+,Beauty,106.54,106.54,1,39,12,5,12,115,127,TRUE,FALSE,FALSE,TRUE
C0098,cynthia.ramirez98@email.com,Cynthia,R,Ramirez,555-2420,2020-07-24,2023-09-30,2023-11-23,Bronze,West,Direct,F,45-54,Home,685.84,85.73,8,34,17,6,13,1331,168,FALSE,TRUE,FALSE,TRUE
C0099,jason.thomas99@email.com,Jason,D,Thomas,555-2163,2022-12-17,2023-12-14,2024-01-19,Gold,Southwest,Direct,M,65+,Beauty,4317.18,205.58,21,67,15,0,16,455,93,TRUE,TRUE,TRUE,TRUE
C0100,ryan.rivera100@email.com,Ryan,W,Rivera,555-3501,2021-07-22,2024-01-21,2024-03-08,Bronze,Southwest,Referral,Prefer not to say,55-64,Home,677.74,96.82,7,17,17,5,8,968,55,TRUE,TRUE,FALSE,FALSE
C0101,betty.carter101@email.com,Betty,F,Carter,555-3248,2023-12-07,2024-02-17,2024-03-07,Bronze,West,Email,Other,45-54,Sports,218.3,109.15,2,23,11,6,2,100,28,TRUE,FALSE,FALSE,FALSE
C0102,david.allen102@email.com,David,F,Allen,555-5179,2020-07-29,2024-01-17,2024-02-22,Gold,Midwest,Direct,Other,35-44,Home,9067.52,197.12,46,28,19,4,3,1326,59,TRUE,TRUE,TRUE,FALSE
C0103,kenneth.harris103@email.com,Kenneth,,Harris,555-1862,2021-01-02,2024-01-28,2024-02-25,Bronze,Southwest,Paid Search,M,65+,Beauty,679.8,113.3,6,26,14,2,11,1169,48,TRUE,FALSE,FALSE,FALSE
C0104,barbara.smith104@email.com,Barbara,A,Smith,555-6675,2023-07-26,2024-01-18,2024-02-17,Gold,Midwest,Direct,F,18-24,Electronics,2556.71,196.67,13,19,16,0,2,234,58,TRUE,FALSE,FALSE,FALSE
C0105,carol.clark105@email.com,Carol,,Clark,555-8126,2023-09-18,2024-02-15,2024-03-05,Platinum,Southeast,Email,F,35-44,Electronics,4260.62,304.33,14,64,21,0,5,180,30,TRUE,FALSE,TRUE,FALSE
C0106,joseph.hall106@email.com,Joseph,B,Hall,555-6370,2020-10-30,2024-03-09,2024-03-01,Bronze,Northeast,,M,25-34,Clothing,869.4,72.45,12,42,22,4,13,1233,7,TRUE,FALSE,FALSE,FALSE
C0107,rebecca.clark107@email.com,Rebecca,C,Clark,555-5240,2020-06-02,2024-02-17,2024-02-18,Bronze,Southwest,Paid Search,F,35-44,Clothing,773.22,110.46,7,45,22,0,4,1383,28,FALSE,FALSE,FALSE,FALSE
C0108,sarah.moore108@email.com,Sarah,E,Moore,,2023-06-22,2024-02-10,2024-02-19,Silver,Midwest,Email,F,35-44,Sports,1743.12,145.26,12,40,24,1,12,268,35,TRUE,FALSE,FALSE,FALSE
C0109,edward.moore109@email.com,Edward,L,Moore,555-1480,2021-07-29,2024-01-24,2024-03-03,Bronze,Southeast,Referral,Other,35-44,Books,2399.6,119.98,20,41,9,6,5,961,52,TRUE,FALSE,FALSE,FALSE
C0110,laura.hill110@email.com,Laura,,Hill,555-3328,2023-02-27,2024-02-23,2024-02-22,Platinum,Midwest,,Other,25-34,Clothing,8575.28,306.26,28,19,23,3,6,383,22,TRUE,FALSE,FALSE,FALSE
C0111,ryan.wright111@email.com,Ryan,C,Wright,555-7481,2023-04-15,2024-03-01,2024-02-23,Bronze,Midwest,Social,M,25-34,Clothing,639.72,106.62,6,37,25,5,11,336,15,TRUE,TRUE,FALSE,FALSE
C0112,timothy.nguyen112@email.com,Timothy,B,Nguyen,555-6213,2023-06-06,2024-02-29,2024-02-22,Bronze,Northeast,Organic,M,45-54,Beauty,321.81,107.27,3,17,18,3,2,284,16,TRUE,FALSE,FALSE,FALSE
C0113,matthew.ramirez113@email.com,Matthew,N,Ramirez,555-7149,2020-07-26,2024-02-09,2024-02-16,Gold,West,Direct,Prefer not to say,18-24,Sports,7982.04,181.41,44,25,13,3,4,1329,36,FALSE,FALSE,FALSE,FALSE
